ID,AGE,WORK,Gender_Männlich,Gender_Weiblich,Edu_Abitur_oder_Fachabitur,Edu_Bachelor,Edu_Master,AILiteracy[Use],AILiteracy[Kno],AILiteracy[Det],AILiteracy[Eth],PGAT,NGAT,CMV,NEO[E],NEO[A],NEO[C],NEO[N],NEO[O],Group_Nr,Prompt_Support,JC1[IStR],JC1[HRJD],SE1,SDT1[AUT],SDT1[COM],PROD1,TASKDIF1,MANI1,JC2[IStR],JC2[HRJD],SE2,SDT2[AUT],SDT2[COM],PROD2,TASKDIF2,MANI2,All_Prompts,Prompt_Count,Average_Word_Count_Prompts,First_Prompt_Word_Count,Total_Word_Count_Prompt,time_total,time_demogr,time_pers,time_task1,time_survey1,time_task2,time_survey2
ABO2606,22,25,1,0,0,1,0,3.166666667,3.333333333,4.0,2.5,4.0,2.666666667,4.666666667,2.75,3.0,3.75,2.5,3.6,1,0,2.8,2.333333333,100,2,3,4,2,0,2.8,4.0,20,3,5,3,4,"In der zweiten Aufgabe musste ich ein Konzept für eine eintägige Veranstaltung zum Thema ""Digitale Transformation"" für Führungskräfte erstellen. Hierbei konnte ich ChatGPT als Hilfsmittel nutzen, um mir Vorschläge für Themen, Events, und einen möglichen Zeitplan geben zu lassen. ","Ich benötige Unterstützung bei der Entwicklung eines Konzepts eine denkwürdige eintägige Veranstaltung für Führungskräfte, um die digitale Transformation zu diskutieren. Die Zielsetzung ist 1.) Erstellen Sie eine Veranstaltung, die sowohl informativ als auch unterhaltsam ist, bei der Führungskräfte etwas über die digitale Transformation erfahren und sich miteinander austauschen können. 2.) Die Teilnehmenden sollen inspiriert und darüber informiert werden, wie die neue Technologie der generativen KI ihr Geschäftsmodell beeinflusst. Folgende Fragen können bei der Konzeption helfen: 1.) Wer ist das Zielpublikum? 2.) Welche Themen wären für die Führungskräfte am relevantesten und interessantesten? 3.) Welche Art von Erfahrung sollen die Führungskräfte machen? || Welche neuen Erkenntnisse können die Führungskräfte auf dieser Veranstaltung erlangen? || Wie könnte ein Zeitplan für diese Veranstaltung aussehen?",3,39.33333333,100,118,35.03866667,9.134166667,1.056333333,11.98083333,1.290833333,11.50966667,0.066833333
APE2704,20,15,1,0,1,0,0,5.0,4.833333333,3.333333333,3.5,4.0,3.333333333,2.0,2.25,3.25,4.0,2.25,3.6,3,0,3.0,2.333333333,100,3,4,3,4,0,4.6,4.0,5,3,5,4,4,Ich musste einen Plan für eine einwöchige Veranstaltung in einem Unternehmen zum Thema nachhaltige Vision und nachhaltige Ziele entwickeln. Als Hilfsmittel habe ich Chatgpt Support verwendet.,"\nHilf mir diese Aufgabe zu lösen:\n\n\nEs ist Freitagnachmittag, die Vorgesetzte Ihres Chefs kommt auf Sie zu und fragt Sie, ob sie spontan für ein Vorstandsmeeting aushelfen können.\n\nEntwickeln Sie eine umfassende, einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert im gesamten Unternehmen.\n\nDie Aufgabe soll in Form eines schriftlichen One-Pagers gelöst werden.\n\n\n\nZielsetzung\nDas Engagement des Unternehmens für Nachhaltigkeit gegenüber allen Mitarbeitenden, Stakeholdern und der Öffentlichkeit soll klar zum Ausdruck bringen.\nDie Strategie soll zu einem tieferen Verständnisses von Nachhaltigkeit und ihrer Bedeutung bei den Mitarbeitern beitragen.\nDie Umsetzung der Nachhaltigkeitsprinzipien soll in konkrete Maßnahmen und Initiativen in allen Abteilungen und Betrieben umgesetzt werden können.\nDie folgenden Fragen können helfen:\nWelche Ziele werden mit der Strategie verfolgt?\nWer ist das Zielpublikum?\nWelche Themen wären für die Mitarbeitenden am relevantesten und interessantesten?\nWelche Art von Erfahrung sollen die Mitarbeitenden machen? || Gib mir noch mehr Ideen || Kommunikationsstrategie zur Implementierung von Nachhaltigkeit\n\nZielsetzung\n\nUnternehmensweites Bewusstsein für die Bedeutung und den Wert von Nachhaltigkeit schaffen.\nAkzeptanz und Engagement für nachhaltiges Handeln in allen Abteilungen fördern.\nDie Umsetzung von nachhaltigen Praktiken und Prinzipien in täglichen Geschäftsprozessen erleichtern.\nZielpublikum\n\nPrimär alle Mitarbeiter, zu Sekundäraudienz gehören Stakeholder (Partner, Investoren, Kunden) und die breite Öffentlichkeit. || Wie kann ich diesen Plan verbessern:\n\nKommunikationsstrategie zur Implementierung von Nachhaltigkeit\n\nZielsetzung\n\nUnternehmensweites Bewusstsein für die Bedeutung und den Wert von Nachhaltigkeit schaffen.\nAkzeptanz und Engagement für nachhaltiges Handeln in allen Abteilungen fördern.\nDie Umsetzung von nachhaltigen Praktiken und Prinzipien in täglichen Geschäftsprozessen erleichtern.\nZielpublikum\n\nPrimär alle Mitarbeiter, zu Sekundäraudienz gehören Stakeholder (Partner, Investoren, Kunden) und die breite Öffentlichkeit.\n\nRelevante Themen\n\nWirkung unserer Geschäftstätigkeiten auf Umwelt und Gesellschaft und Vorteile nachhaltiger Praktiken.\nBeispiele für erfolgreiche nachhaltige Initiativen aus der Industrie.\nWege zur Integration von Nachhaltigkeit in die täglichen Aufgaben und Abläufe der einzelnen Abteilungen.\nArt der Erfahrung\n\n\nRelevante Themen\n\nWirkung unserer Geschäftstätigkeiten auf Umwelt und Gesellschaft und Vorteile nachhaltiger Praktiken.\nBeispiele für erfolgreiche nachhaltige Initiativen aus der Industrie.\nWege zur Integration von Nachhaltigkeit in die täglichen Aufgaben und Abläufe der einzelnen Abteilungen.\nArt der Erfahrung\n\nInteraktive und partizipative Aktivitäten planen, die eine direkte Beteiligung, ein tieferes Lernen und eine nachhaltige Bewusstseinsbildung ermöglichen, darunter Workshops, Präsentationen, Gruppendiskussionen und Simulationsübungen.\n\nKommunikationsplan\n\nMontag: Einführung der Nachhaltigkeitswoche durch die Geschäftsführung mit klarem Ziel und Fokus, verbreitet durch E-Mail, firmeninternes Social Media und Aushänge.\n\nDienstag: Themenspezifische Präsentationen und Workshops in den einzelnen Abteilungen, um spezifische Maßnahmen zu besprechen und vorzustellen.\n\nMittwoch: Ein Webinar mit einem Experten für Nachhaltigkeit, um die Vorteile und die Bedeutung der Nachhaltigkeit in der heutigen Geschäftswelt zu unterstreichen.\n\nDonnerstag: Bereitstellung von Ressourcen und Materialien für die Eigenerkundung der Mitarbeiter. Einrichtung eines „grünen“ Forums für die Diskussion und den Austausch von Ideen.\n\nFreitag: Abschlussveranstaltung mit Rückblick und Ausblick. Ankündigung eines Wettbewerbs für das beste nachhaltige Projekt oder die beste Idee.\n\nDie Kommunikation zur Nachhaltigkeitswoche und zu den daraus resultierenden Initiativen wird durch regelmäßige Updates auf der Unternehmenswebsite und den sozialen Medien sichergestellt.\n\n",4,108.75,128,435,23.16933333,2.530833333,1.257666667,6.3725,1.443166667,11.385,0.180166667
SSG0102,20,20,1,0,1,0,0,3.833333333,4.333333333,3.333333333,2.0,3.333333333,2.333333333,3.666666667,3.75,3.5,3.5,2.25,4.0,3,0,3.8,3.666666667,70,5,2,2,3,0,5.0,2.75,80,4,4,4,3,Ich musste einen Abend organisieren für eine ein-wöchige Kommunikations Camp welches den Fokus auf Nachhaltigkeit Setzte. Als Hilfsmittel wurde ChatGPT zur Verfügung gestellt worden.,Wie wichtig ist Nachhaltigkeit heute || wie kann Nachhaltigkeit den Mitarbeitern helfen || nenne mir 5 punkt weshalb eine Frima nicht nachhaltig produzieren sollte || erklär mir in 5 sätzen warum Patagonia nun voll auf Nachahaltigkeit setzt || War die Änderung des Businessmodels von Patagonia ein erfolg nenn mir 3 gründe warum ja und 3 warum nein || nenn mir andere Firmen die die gleiche Entscheidung getrofffen haben wie Patagonia || welche von diesen 5 Firmen erreichte die beste Nachhaltigkeits kurve und wieso hat sie das erreicht,7,11.57142857,5,81,34.52516667,3.595666667,1.3015,10.433,1.658333333,14.911,2.625666667
ECH2807,21,30,1,0,1,0,0,4.0,4.5,4.666666667,3.0,3.333333333,3.333333333,4.0,3.0,3.5,3.25,2.5,4.0,4,1,3.4,3.333333333,100,5,4,4,3,0,3.8,3.75,70,3,5,4,3,"Ich musste für ein Unternehmen, über das ich keine weiteren Informationen besass, einen Marketing-Plan erstellen. Dieser Plan sollte kommunizieren, wie wichtig Nachhaltigkeit für das Unternehmen ist - ggü. internen und externen Stakeholdern. Dabei half mir ChatGPT, das v.a. lange ""Schreibaufgaben"" übernahm.","Hey ChatGPT, du bist ein Marketing-Genie, das kreative Ideen bringt, um unternehmensweite Strategien umzusetzen. Wenn ich dich nach Ideen frage, hältst du dich kurz, lieferst aber mehrere Antworten. Deine Ideen sind nah an den Menschen und kommen bei einem breiten Spektrum von Leuten gut an. Wenn ich Ideen habe, prüfst du sie sorgfältig und kritisierst, wo nötig. || Ich erstelle momentan eine einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert im gesamten Unternehmen. Diese Strategie soll bei den Leuten gut ankommen und sowohl intern, als auch extern klar unsere Werte kommunizieren. Sie soll auch dazu anleiten, nachhaltiges Engagement in allen Aspekten des Unternehmens zu fördern. || Mir gefällt die Idee der Green Challenge sehr. Hier sind meine Gedanken dazu: -> Abteilungsinterne Massnahmen und Challenges entwickeln - einen Preis für die effektivste Einsparung pro Abteilung. Diese Ideen sollen ausgestellt / präsentiert werden. Bspw. ""In der Logistik hatte Team XYZ folgende Idee.""\n\nBitte formuliere aus, wie das den Mitarbeitern kommuniziert werden könnte. Schreibe dazu keine Mail oder ähnlich, sondern formuliere einen Plan. Am Montagabend geht diese Information raus, am Donnerstagabend ist Einsendeschluss und am Freitagabend ist die Preisverleihung. Wichtig ist, dass in jeder Abteilung bis Donnerstagabend mindestens 2 Arbeitsstunden gesprochen werden, damit die Teams daran arbeiten können || Erzähle mir bitte mehr zum ""nachhaltigen Produkt Showcase"" und liefere kreative, ungebundene Ideen, wie man das an die Öffentlichkeit bringen könnte.",4,55.75,57,223,46.27983333,1.717166667,0.610833333,21.66416667,0.892166667,19.57433333,1.821166667
AST1210,25,60,1,0,0,0,0,4.166666667,3.833333333,4.0,3.0,3.0,3.333333333,4.333333333,3.0,4.0,3.75,3.0,4.2,3,0,4.4,3.666666667,100,5,4,4,2,0,3.2,5.0,15,4,5,3,4,"In der zweiten Aufgabe ging es um eine einwöchige Kommunikationsstrategie, welche zum Ziel hatte, den für das Unternehmen neu eingeführten Kernwert der Nachhaltigkeit, den wichtigsten Anspruchsgruppen mitzuteilen. Als Hilfsmittel stand dabei ChatGPT zur Verfügung.","Hallo, kannst du mir ein Kommunikationskonzept erstellen, wie wir Nachhaltigkeit als Kernwert unseres Unternehmens einführen und diese Einführung mit Mitarbeitern, der Öffentlichkeit und den Investoren teilen wollen? || Kannst du dieses Konzept welches du gerade erstellt hast, in eine einwöchige Roadmap miteinbeziehen?",2,20.5,27,41,28.102,3.470833333,1.178833333,12.41266667,1.6345,6.4455,2.959666667
IHE1103,24,20,1,0,0,1,0,4.0,3.5,2.666666667,2.0,5.0,2.0,5.0,2.75,4.0,3.75,3.0,4.0,2,1,3.6,2.333333333,75,4,3,4,2,0,4.4,5.0,20,4,5,5,4,"Ich sollte eine eintägige Veranstaltung aufsetzen, bei der Führungskräfte in das Thema digitale Transformation eingeführt werden. Dabei ging es darum informativ aber auch unterhaltsam zu sein. Zur Hilfestellung durfte ich ChatGPT benutzen.","Hilf mir bei folgender Aufgabe - du wirst von der Vorgesetzten deines Chefs gebeten bei dem nächsten Vorstandsmeeting auszuhelfen. Entwickle ein Konzept, eine denkwürdige eintägige Veranstaltung für Führungskräfte um digitale Transformation zu diskutieren.\nSei dabei bitte konkret und fasse dich informativ. Die Führungskräfte sollen unterhalten werden aber auch etwas über Tranfsformation lernen können. || Was ist dabei das Zielpublikum || Welche Themen wären für die Führungskräfte am relevantesten und interessantesten?",3,22.33333333,52,67,34.4385,3.611666667,1.466333333,13.39633333,1.803333333,11.32533333,2.8355
OME0709,22,50,1,0,1,0,0,4.333333333,3.333333333,3.0,4.0,2.333333333,3.333333333,4.333333333,3.5,2.75,3.0,3.25,3.8,4,1,4.6,2.0,70,5,5,4,3,0,3.8,4.0,50,5,5,4,2,"In der zweiten Aufgabe musste man für den eigenen Chef eine einwochige Strategie entwickeln, in der Mitarbeitende der Firma neue Technologien kennenlernen sollten. In der zweiten Aufgabe, in gegensatz zu der erste war es möglich sich mit Chat-GPT zu helfen um die Aufgabe zu lösen.","Hilfe mir beim organisieren einer umfassende, einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert im gesamten Unternehmen. || Welche Ziele werden mit der Strategie verfolgt? || Wer ist das Zielpublikum?\n || Welche Themen wären für die Mitarbeitenden am relevantesten und interessantesten?",4,9.5,17,38,29.252,3.240833333,1.664666667,10.7165,0.651833333,8.475833333,4.502333333
NBA0408,20,50,1,0,1,0,0,5.0,4.166666667,4.0,2.5,4.333333333,2.0,4.666666667,3.25,2.5,3.75,2.25,4.0,2,1,2.8,2.333333333,100,3,4,3,4,0,3.4,3.75,40,5,5,5,4,"Ich habe mittels einer OPENAI einen Text generiert. Die KI hat in meinem Auftrag und nach meinen vorstellungen eine neue Kommunikationsstrategie geschrieben. Im Nachhinein konnte ich textstellen, die ich nicht mochte, nochmals selber anpassen. ","Du bist ein Mitarbeiter in einem Unternehmen und musst eine neue Kommunikationsstrategie vorschlagen. Diese soll sich massgeblich auf die Nachhaltigkeit als zentraler neuer Wert beziehen. Fasse zunächst in 3 Sätzen die Kommunikationsstrategie zusammen und stelle mögliche Ziele in Aussicht. Führe danach 6 konkrete Vorschläge auf, welche sich auf die Investoren, mitabreiter, kunden beziehen das Ziel der Massnahmen muss die Förderung von Nachhaltigkeit im Bezug mit dem Unternehmen sein. Gebe die Antworten in einer angemessenen Businness Sprache zurück und fasse dich in den formulierungen kurz. Formuliere anschliessend noch in einem Text aus maximal 2 Sätzen das Potential einer geglückten neuen Kommunikationstrategie. Führe danach mittels 4 Stichpunkte die grössten Risiken auf, welche die erfolgreiche Umsetzung der Kommunikationsstrategie verhindern können.  ",1,117.0,117,117,44.35066667,3.447166667,1.675666667,20.21483333,1.829166667,13.783,3.400833333
AOD2103,25,60,1,0,0,1,0,3.5,4.0,3.666666667,3.5,4.333333333,3.666666667,3.333333333,3.5,3.5,4.0,3.5,3.4,1,0,2.8,4.0,100,2,4,3,4,0,3.8,4.0,30,2,4,3,3,Ich musste eine Verantstaltung über digitale Transformation für Fuehrungskraefte im Unternehmen organisieren. Dabei hatte ich ChatGPT als Hilfsmittel für die Vorbereitung.,"Hilfe mir, eine kurze aber informative eintägige Veranstaltung für die Führungskräfte im Unternehmen über die digitale Transformation zu machen. Punkte sind:\nWer ist das Zielpublikum?\nWelche Themen wären für die Führungskräfte am relevantesten und interessantesten?\nWelche Art von Erfahrung sollen die Führungskräfte machen? || Mache den Text kürzer und halte folgende Ziele ein: Zielsetzung:\n1) Erstellen Sie eine Veranstaltung, die sowohl informativ als auch unterhaltsam ist, bei der Führungskräfte etwas über die digitale Transformation erfahren und sich miteinander austauschen können.\n2) Die Teilnehmenden sollen inspiriert und darüber informiert werden, wie die neue Technologie der generativen KI ihr Geschäftsmodell beeinflusst. || kannst du trotzdem auf die fragen eingehen:Zielsetzung:\nErstellen Sie eine Veranstaltung, die sowohl informativ als auch unterhaltsam ist, bei der Führungskräfte etwas über die digitale Transformation erfahren und sich miteinander austauschen können.\nDie Teilnehmenden sollen inspiriert und darüber informiert werden, wie die neue Technologie der generativen KI ihr Geschäftsmodell beeinflusst.\nWer ist das Zielpublikum?\nWelche Themen wären für die Führungskräfte am relevantesten und interessantesten?\nWelche Art von Erfahrung sollen die Führungskräfte machen? -mach es bitte kreativ || mach die veranstltung kreativer und lustiger",4,42.5,40,170,30.7745,2.648,1.208,14.14333333,1.598,8.551166667,2.626
IME0910,27,100,0,1,0,1,0,4.166666667,4.166666667,4.0,3.5,2.0,3.0,4.0,2.75,3.0,3.5,2.25,3.0,4,1,3.8,3.666666667,80,3,2,4,2,0,4.2,5.0,95,3,5,4,4,"Ich musste nur denken wie könnte ich die Aufgabe zum ChatGPT geben und zu klar zu sein , dann es konnte besser machen. Ich habe geschrieben was ich brauchte und er hat die richtige Antwort gegeben. ",Du bist ein expert in a consulting firma und ud musst ein einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert im gesamten Unternehmen. Die Aufgabe sollte in Form eines schriftlichen One-Pagers gelöst werden. || as an expert bitte hat as ziell Die Umsetzung der Nachhaltigkeitsprinzipien soll in konkrete Maßnahmen und Initiativen in allen Abteilungen und Betrieben umgesetzt werden können.,2,29.0,33,58,36.12266667,4.4285,2.213,12.68583333,2.818,13.80766667,0.169666667
VBA1706,21,15,1,0,0,1,0,4.166666667,4.0,3.333333333,4.0,3.333333333,3.333333333,4.666666667,2.5,3.25,3.5,3.0,3.4,4,1,4.0,3.666666667,60,4,3,3,2,0,3.8,4.5,75,4,3,4,3,"Ich musste Chat GPT Orden geben. Es gab 7 besonderes punkte die ich lesen, verstehen und benutzen musste. Mit diese 7 besondere Punkte ich musste chatpgt oOrden geben um die Task zu machen","I need to develop a comprehensive week-long program about sustainability to demonstrate its core value across the company to the employees and all the stakeholders. My boss's boss asked me to do so it must be precise, detailed and apllicable to a company situation. Develop core values and daily activities to involve the entirity of the stakeholders || now write me the same but translated in German || Translate all the following text into german\n\nProgram Title: Sustainability Week: Prioritizing Sustainable Practices for a Greener Future\n\nCore Values:\n\nValue Creation: We aim to provide valuable contributions to the company by creating innovative, sustainable solutions.\nIntegrity: We pledge to operate our business honestly and ethically, promoting sustainability in all our actions.\nRespect: We respect our environment and are dedicated to mitigating our impacts to promote a healthier planet.\nRisk Management: We will actively work to identify, manage, and reduce environmental risks associated with our operations.\nCollaboration: We believe in the power of collective effort and encourage all employees and stakeholders to participate in our sustainability initiatives.\nDay 1 - Introduction to Sustainability & Its Importance in Business\n\nExpert Talk: Inviting subject matter experts to talk about sustainability and its impact on businesses.\nSustainability Quiz: A fun and interactive online quiz which will provide basic understanding of sustainability, carbon footprints, and climate change.\nDay 2 - Energy Conservation\n\nEnergy Audit Activities: Arrange an energy assessment to identify how energy is used in the company and where it's wasted.\nWebinar: Importance of Energy Conservation & Ways to Conserve Energy at Work.\nDay 3 - Waste Management and Reduction\n\nWaste Audit: Evaluate waste production in different areas of the company and brainstorm ways to reduce it.\nWorkshop: Waste Segregation and Recycling - Train employees about the importance of waste segregation and recycling.\nDay 4 - Water Conservation\n\nWater footprint calculator: Introduce an online tool to have employees calculate their water footprints and suggest ways to reduce it.\nBest Practices in Office: Discuss strategies for conserving water.\nDay 5 - Sustainable Transport\n\n""Bike to Work"" day: Encourage employees to use more sustainable modes of transportation.\nWebinar: Benefits and Insights on Sustainable Transportation.\nDay 6 - Sustainable Procurement Policies\n\nExplaining the concept of sustainable procurement and the use of sustainable suppliers.\nRound-table discussion: Explore ways to embrace ethical procurement practices.\nDay 7 - Building a Sustainable Workplace Culture\n\nEmployee Pledge: Ask employees to pledge for incorporating sustainable practices in their daily life.\nCelebration: Celebrate the successful completion of the initiative  Award most engaged participants.\nGiveaways: At the end of the week, provide eco-friendly giveaways such as reusable water bottles, cloth bags, or saplings to promote sustainability.\n\nThis week-long program encourages employees and stakeholders to actively participate in sustainable practices, thus ingraining the values of corporate environmental responsibility and sustainability deeper into the company culture.\n\n\n",3,145.3333333,57,436,42.504,5.943333333,2.724833333,29.0785,1.537333333,3.179833333,0.040166667
AFU0708,20,10,0,1,0,1,0,4.833333333,4.166666667,3.333333333,4.5,3.0,3.0,4.666666667,3.0,2.25,2.75,3.75,3.8,2,1,4.8,4.0,100,5,4,3,4,0,4.4,1.75,15,2,2,2,3,Mithilfe einer künstlichen Intelligenz konnte ich von Ihnen gestellte Fragestellung bearbeiten.  Dabei konnte ich Fragen stellen und anweisungen geben.,"Inwiefern koennen Fuehrungskraefte die digitale Transformation foerdern? || Schreibe in kurzen, logischen und konsequenten Sätzen, welche Bedeutung KI in Unternehmung heutzutage und in Zukunft hat, gehe hierbei besonders auf die Chancen und Gefahren ein als auch die Bedeutung fuer Fuehrungskraefte und Konsequenzen der Implementierung kuenstlicher Intelligenz fuer diese.",2,23.5,7,47,49.36433333,2.74,1.1095,28.376,1.344666667,13.571,2.223166667
USG0407,31,100,1,0,0,1,0,4.5,3.166666667,2.333333333,1.5,2.666666667,2.333333333,4.666666667,3.0,2.25,3.75,2.0,3.6,5,0,3.4,4.25,100,4,4,4,3,In der zweiten Aufgabe ging es um die Erstellung einer einwöchigen Strategie(Ausarbeitung) um neu Nachhaltigkeit als Kernwert des Unternehmens aufzubauen (wie dies geschehen soll etc.). Hilfsmittel standen keine zur Verfügung.,3.4,3.333333333,5,3,4,3,3,0,erstellen des Konzept einer eintägigen Veranstaltung für Führungskräfte um digitale Transformation zu diskutieren || Konzept finalisieren und endgültig erstellen,2,9.0,13,18,17.79266667,2.273666667,0.9685,5.969,2.997,4.290666667,1.293833333
AHO1006,26,40,1,0,0,1,0,4.666666667,4.666666667,4.0,3.5,4.333333333,2.0,4.666666667,3.0,4.0,3.75,1.75,3.4,2,1,2.4,2.25,100,2,2,2,2,Ich musste eine Kommunikationsstrategie erstellen um Nachhaltigkeit im Unternehmen einzuführen. Hierzu hatte ich wenige Informationen und keine Hilfsmittel.,2.8,5.0,20,3,5,5,5,Ich musste ein Konzept zum Thema digitale Transformation entwickeln und konnte dabei auch chatgpt als Hilfsmittel zugreifen.,"Lösen Sie die Aufgabe aus einer Ich Perspektive, achten sie dabei auf eine strukturierte und professionelle Ansprache.\nEs ist Freitagnachmittag, die Vorgesetzte Ihres Chefs kommt auf Sie zu und fragt Sie, ob sie spontan für ein Vorstandsmeeting aushelfen können.\nEntwickeln Sie ein Konzept für eine denkwürdige eintägige Veranstaltung für Führungskräfte, um die digitale Transformation zu diskutieren.\n\nDie Aufgabe soll in Form eines schriftlichen One-Pagers gelöst werden.                                                                                                                                                                                                                                                   \nErstellen Sie eine Veranstaltung, die sowohl informativ als auch unterhaltsam ist, bei der Führungskräfte etwas über die digitale Transformation erfahren und sich miteinander austauschen können.\nDie Teilnehmenden sollen inspiriert und darüber informiert werden, wie die neue Technologie der generativen KI ihr Geschäftsmodell beeinflusst.",1,105.0,105,105,8.209333333,2.806333333,0.800666667,2.161666667,0.156833333,2.221333333,0.0625
