VPNCode,AGE,WORK,Gender_Männlich,Gender_Weiblich,Edu_Abgeschlossene_Berufsausbildung,Edu_Mittlere_Reife_(Realschulabschluss),Edu_Abitur_oder_Fachabitur,Edu_Bachelor,Edu_Master,Edu_Doktortitel,AILiteracy[Use],AILiteracy[Kno],AILiteracy[Det],AILiteracy[Eth],PGAT,NGAT,CMV,NEO[E],NEO[A],NEO[C],NEO[N],NEO[O],JC1[IStR],JC1[HRJD],SE1,SDT1[AUT],SDT1[COM],PROD1,TASKDIF1,MANI1,JC2[IStR],JC2[HRJD],SE2,SDT2[AUT],SDT2[COM],PROD2,TASKDIF2,MANI2,total_time,syst_total_time,time_demogr,time_pers,time_task1,time_survey1,time_task2,time_survey2
ZZEBA0308,25.0,100.0,False,True,False,False,False,True,False,False,5.0,4.666666666666667,4.333333333333333,2.5,5.0,4.0,3.6666666666666665,4.25,2.75,5.0,4.25,4.0,3.6,5.0,10.0,4,4,3,4,"Ich musste ein one pager erstellen für ein workshop. Hierfür hatte ich als Hilfsmittel Chatgpt und nutzte promts um einen Text zu verfassen,",2.2,1.75,100.0,5,1,1,1,"Ich sollte eine Kommunikationsstrategie entwickeln für das Unternehmen, damit die Mitarbeiter ein besseres Verständnis über Nachhaltigkeit erhalten. Hierfür habe ich keine Hilfsmittel benutzt.",35.75,21.029833333333332,4.679333333333333,1.3353333333333335,6.123166666666666,4.870666666666667,0.05366666666666667,3.9676666666666667
ZZNRO406,30.0,100.0,False,True,False,False,False,True,False,False,3.3333333333333335,4.666666666666667,3.3333333333333335,4.0,3.6666666666666665,4.666666666666667,3.6666666666666665,3.0,3.25,3.75,3.25,4.0,2.4,3.5,75.0,2,4,4,3,"Ich musste bei der Gestaltung eines Vorstandstreffens unterstützen und einen Plan entwickeln. Digitale Transformation war das Thema und zur Hilfe standen mit Informationen zum Thema und zusätzliche Frage, die ich mir stellen konnte/sollte.",3.8,4.0,10.0,2,4,2,3,"Mir stand ein generatives Textprogramm zur Verfügung, um einen Plan zu entwickeln. Es ging darum in einem einwöchigen Programm Nachhaltigkeit in der Firma zu besprechen und zu kommunizieren.",29.083333333333332,29.11116666666667,4.026833333333333,1.1076666666666666,9.116833333333334,4.5355,6.9505,3.3738333333333332
ZZSSA0301,22.0,0.0,False,True,False,False,True,False,False,False,5.0,4.5,3.6666666666666665,4.0,4.333333333333333,1.6666666666666667,5.0,3.5,3.0,4.0,2.25,4.0,3.2,2.25,20.0,3,3,3,2,"Ich musste zunächst das Problem verstehen und dann Schlüsselpunkte identifizieren, um es zu lösen. Es war ziemlich verwirrend, aber ich habe mein Bestes gegeben.",4.2,4.25,55.0,5,5,5,3,"Ich musste zunächst schnell die gegebene Situation einschätzen und dann suchte ich ein wenig Hilfe von KI um mich durch die Situation zu führen. Dabei verwendete ich Fragen um sicherzustellen, dass meine Antwort direkt und präzise war.",25.5,25.566,5.850666666666667,1.538,3.9443333333333332,4.9975000000000005,2.7871666666666663,6.448333333333333
ZZAWA0212,22.0,100.0,True,False,False,False,True,False,False,False,5.0,4.833333333333333,5.0,4.5,4.0,2.6666666666666665,2.6666666666666665,3.25,2.5,4.0,2.75,4.4,2.4,5.0,10.0,2,4,4,4,Einen One Pager zu einer Informationsveranstaltung verfassen. Hilfsmittel ChatGPT.,2.2,5.0,5.0,2,3,4,4,Einen One Pager zu einer einwöchigen Klimastrategie verfassen. Hilfsmittel ChatGPT.,20.75,20.772666666666666,3.89,1.5015,5.711333333333333,3.5515,0.06766666666666667,6.050666666666667
ZZKO1608,37.0,100.0,True,False,False,False,False,True,False,False,4.166666666666667,3.6666666666666665,3.3333333333333335,3.0,3.3333333333333335,3.3333333333333335,3.6666666666666665,2.75,2.5,3.25,2.5,2.8,3.8,3.25,60.0,3,4,4,2,Man muss der KI Inhalt noch mehr Beispiele nennen und man kann ein Chatbot als Hilfsmittel verwenden.,3.6,3.5,70.0,3,3,4,2,ich muss nur paar Sätzen an der KI Hilfsmittel angeben und dann abwarten. Allerdings dauert es ein bisschen länger als ich gedacht habe.,19.733333333333334,19.773666666666667,4.368833333333333,0.8716666666666666,5.2283333333333335,3.0875,0.07433333333333333,6.143
ZZNWA1604,32.0,100.0,True,False,True,False,False,False,False,False,4.5,4.333333333333333,4.0,3.5,3.3333333333333335,3.3333333333333335,2.6666666666666665,3.0,3.75,3.75,3.0,3.6,3.8,2.25,100.0,5,5,3,2,In der vorherigen Aufgabe musste ich ein Konzept zur Nachhaltigkeit im Unternehmen erstellen. Dies sollte in einem Meeting vorgestellt werden und auf einige Fragen eingegangen werden. Als Hilfsmittel wurden mir Ziele und Fragen zur Verfügung gestellt.,4.0,4.5,10.0,3,4,5,4,Ich habe mithilfe von ChatGPT eine Präsentation erstellen müssen. ChatGPT hat mir geholfen die Präsentation a) zu erstellen und b) in die gewünschte Richtung zu leiten.,34.86666666666667,34.89516666666667,4.1405,1.2511666666666665,14.063666666666668,5.800666666666667,0.08483333333333333,9.554333333333334
ZZALA3008,29.0,100.0,False,True,False,False,True,False,False,False,3.6666666666666665,4.0,3.3333333333333335,3.5,3.6666666666666665,2.6666666666666665,3.6666666666666665,3.0,3.25,3.25,2.75,3.2,3.6,4.25,50.0,4,4,3,4,"Ich wurde gefragt, ob ich spontan bei einem Vorstandsmeeting aushelfen könnte. Ein Konzept für eine eintägige Veranstaltung für Führungskräfte wurde angefragt. 12 Minuten Zeitlimit und eine KI standen mir zu Verfügung.",3.6,3.75,80.0,4,3,4,2,"Ich wurde gefragt ob ich spontan Zeit habe, für ein Vorstandsmeeting auszuhelfen. Ich sollte eine umfassende, einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert im gesamten Unternehmen, planen.
Mit 12 Minuten Zeitdruck und ohne Hilfsmittel.",32.15,32.21183333333333,5.1146666666666665,1.4091666666666667,7.72,7.944333333333334,1.2738333333333334,8.749833333333333
ZZUVI2004,30.0,100.0,True,False,False,False,False,False,True,False,4.333333333333333,4.166666666666667,4.333333333333333,5.0,4.0,3.3333333333333335,5.0,3.5,3.0,4.0,3.5,4.0,4.6,5.0,60.0,4,5,4,3,Organisirien innerhalb eines zeitrahmens von 12 minuten ein meeting über den Einsatz von KI-Modellen in geschäftslösungen.,4.4,4.0,50.0,3,4,3,4,"organisierte eine Vorstandssitzung über nachhaltigkeit, ihre Entwicklung und die Praktiken, die übernommen werden können.",21.35,21.433833333333332,2.4136666666666664,0.8635,3.1420000000000003,3.4285,0.3365,11.249666666666666
ZZAUL2008,22.0,23.0,True,False,False,False,True,False,False,False,5.0,5.0,5.0,4.5,3.6666666666666665,2.6666666666666665,4.666666666666667,3.75,4.5,4.5,2.5,3.8,1.8,1.0,100.0,1,4,4,1,"Ich musste ein einwöchiges Kommunikationskonzept für ""meine Firma"" schreiben, welches Nachhaltigkeit als Kernpunkt beinhaltet. Dieses Konzept sollte soweit ausgefeilt sein, dass ich es jetzt in einem Vorstandsmeeting mit den anderen Vorständen präsentieren kann.",5.0,5.0,0.0,1,1,4,3,"Ich sollte eine Veranstaltung für Führungskräfte planen.
Diese Veranstaltung sollte unvergesslich sein.
Bei der Veranstaltung sollte die Digitalisierung besprochen werden.",32.583333333333336,32.611666666666665,5.902833333333334,1.1608333333333334,10.621666666666666,4.2335,0.7206666666666667,9.972166666666668
ZZRHA2012,26.0,10.0,False,True,False,False,False,True,False,False,5.0,4.0,3.0,2.5,4.0,2.6666666666666665,3.6666666666666665,3.75,3.0,3.75,2.75,3.4,3.2,3.5,100.0,4,5,5,4,"ich sollte eine Veranstaltung für Führungskräfte eines Untenehmens entwerfen, die über den Einsatz von KI informiert. Über Einsätze von Hilfmitteln war ich mir nicht bewusst und daher habe ich auch keine verwendet.",4.6,5.0,20.0,3,3,4,4,,19.116666666666667,19.17716666666667,2.8136666666666668,1.0935,8.2955,3.5176666666666665,1.43,2.0268333333333333
ZZUWA3006,71.0,0.0,False,True,False,False,False,False,True,False,2.5,3.3333333333333335,2.6666666666666665,2.5,3.6666666666666665,2.0,3.6666666666666665,2.75,2.25,3.25,2.5,3.6,1.6,1.0,90.0,3,3,3,2,Ich habe keine Hilfsmittel verwendet sondern mit einer gewissen Hoffnung das Richtige verstanden zu haben umgesetzt. Veranstaltungspläne kennt man aber den Inhalt habe ich etwas allgemein gehalten da ich nicht wusste was man unter einer Transformation meinte.,3.4,3.75,40.0,2,3,4,2,Ein Wochenplan erstellen mit Hilfe eines GPT. Ist allgemein gelungen wenngleich noch etwas oberflächlich aber wichtige Anhaltspunkte waren dabei.,92.38333333333334,92.42283333333333,8.568833333333334,2.0044999999999997,20.6165,16.438166666666667,37.26083333333334,7.534000000000001
ZZAOT0412,63.0,30.0,False,True,True,False,False,False,False,False,1.8333333333333333,1.8333333333333333,1.3333333333333333,1.0,1.3333333333333333,5.0,3.6666666666666665,3.5,1.75,3.5,3.25,3.2,3.2,3.0,40.0,3,2,3,2,"Ich sollte eine Vorstandssitzung organisieren, bei der die Beteiligten etwas lernen können",2.8,3.0,40.0,3,3,3,2,"Ich sollte dafür sorgen, dass das Unternehmen bzw. der Vorstand sich für Nachhaltigkeit einsetzt, also darüber nachdenkt, wie man besser nachhaltig arbeiten und handeln kann, auch in Bezug auf die Mitarbeiter.",20.733333333333334,20.783,3.4680000000000004,1.349,4.955166666666667,3.4823333333333335,3.7680000000000002,3.7605
ZZNBI2609,34.0,100.0,True,False,True,False,False,False,False,False,4.166666666666667,4.0,3.3333333333333335,3.5,4.0,4.333333333333333,2.0,2.75,2.5,3.75,2.0,3.4,3.8,4.0,0.0,2,4,2,5,"Einen ganztägigen ""Workshop"" für Führungskräfte entwickeln. Mit der Unterstützung von Chatgpt",4.4,1.5,100.0,3,3,3,2,Ein Konzept zur vermittlung zum Thema Nachhaltigkeit entwickeln. Sowohl für die Mitarbeiter als auch die shareholder und die Öffentlichkeit,74.51666666666667,74.5685,19.973000000000003,3.2798333333333334,2.0818333333333334,15.362166666666667,21.5375,12.334166666666667
ZZUST0208,30.0,100.0,True,False,False,False,False,False,True,False,3.1666666666666665,3.0,3.3333333333333335,2.0,4.666666666666667,2.6666666666666665,3.3333333333333335,3.25,3.75,4.25,1.75,4.2,3.2,2.0,100.0,5,5,4,1,"Es standen keine Hilfmittel zur Verfügung.
Ich sollte in 12 min eine Strategie zu Einführung von Nachhaltigkeit im Rahmen einer ein wöchigen Kommunikationsphase im Unternehmen für die Geschäftsführung erstellen.",1.8,5.0,0.0,1,1,3,4,"Wieder hatte ich 12 min Zeit.
Dieses mal sollte ein 1-tägiges Meeting der Führungskräfte zum Austausch und Kennenlernen über und von KI-Technologie vorbereitet werden.",42.766666666666666,42.800666666666665,9.967833333333335,1.049,16.940166666666666,5.7219999999999995,0.36816666666666664,8.7535
ZZASE1301,29.0,100.0,False,True,False,False,False,True,False,False,3.0,3.0,3.0,3.0,3.0,3.0,3.3333333333333335,2.25,3.0,3.0,2.0,3.8,3.2,3.0,100.0,3,3,4,3,ich bruachte Hlfe von ChatGPT für ein Projekt von meinem Job,3.8,3.25,100.0,3,2,3,4,KI ChatGPT hat mir Vorscläge gegeben,39.38333333333333,39.469833333333334,13.158333333333333,1.3455000000000001,13.572666666666667,3.898,4.582333333333334,2.913
ZZELU0612,42.0,0.0,False,True,False,True,False,False,False,False,4.0,3.0,3.0,3.0,3.6666666666666665,3.6666666666666665,2.6666666666666665,3.0,3.5,3.25,2.5,4.0,4.0,4.75,40.0,3,3,4,4,Mit Hilf von ChatGPT eine Veranstaltung für Führungskräfte organisieren.,2.6,1.75,20.0,2,2,2,2,Eine einwöchige Kommunikationsstrategie zum Thema Nachhaltigkeit im Unternehmen entwickeln.,20.916666666666668,20.969833333333334,2.7536666666666667,0.8818333333333332,6.66,2.9778333333333333,5.304166666666666,2.392333333333333
ZZUFL0505,25.0,50.0,True,False,False,False,True,False,False,False,4.666666666666667,3.6666666666666665,3.3333333333333335,1.5,4.333333333333333,3.0,4.0,4.0,3.25,3.5,4.0,3.8,2.6,4.75,20.0,1,5,4,4,"Ich wurde gebeten von der Vorgesetzten meines Chefs eine Art ""Vorstandsmeeting"" zu organisieren in dem es über die Nachhaltigkeit in unserem Unternehmen geht. Dafür sollte ich eine Art kurze Präsentation mit Text vorbereiten. Hilfsmittel waren Fragestellungen an denen ich mich orientieren konnte und ein ChatBot , den ich fragen stellen konnte und der mir gute Antworten gegeben hat.",3.6,2.25,80.0,2,4,3,2,Ich wurde zu einem Vorstandsmeeting geben und sollte eine kleine Präsentation halten über digitale Transformation bzw. Künstliche Intelligenz im Unternehmen. Dafür wurden mir Fragestellungen bereitgestellt an denen ich mich orientieren konnte.,43.7,43.739333333333335,5.0565,1.3926666666666667,14.948166666666667,6.2620000000000005,0.20833333333333334,15.871666666666666
ZZEDR2902,24.0,100.0,True,False,False,False,False,True,False,False,3.3333333333333335,3.6666666666666665,4.0,1.5,4.333333333333333,3.3333333333333335,4.0,3.5,4.0,3.25,4.25,3.2,2.6,2.25,100.0,3,3,4,2,"Ich musste eine Kommunikationsstrategie zum Thema Nachhaltigkeit erarbeiten. Hilfsmittel standen mir theoretisch alle zur Verfügung (Search Browser, KI, etc.), bearbeitet wurde die Aufgabe jedoch ohne diese. Das Ziel war es das Thema Nachhaltigkeit im Unternehmen zu stärken und den Leuten näher zu bringen, mit verschiedenen Schlüssel Fragen im Zentrum.",2.0,1.25,5.0,1,1,3,5,"Die Aufgabe war ähnlich wie die vorherige, nur diesmal wurde es mit der Unterstützung einer KI angeboten. Das heißt letzendlich habe ich die Aufgabe nur an das entsprechende Tool weitergeben und es möglichst akkurat beschrieben und ein gutes Resultat auf die Aufgabe zu erhalten.",34.85,34.89633333333334,6.2895,1.1784999999999999,10.8255,6.4141666666666675,5.4375,4.751166666666666
ZZEAN0306,29.0,100.0,True,False,False,False,False,False,True,False,3.6666666666666665,3.6666666666666665,4.333333333333333,3.0,4.0,3.3333333333333335,4.333333333333333,3.5,3.75,4.25,3.0,3.6,3.6,3.75,55.0,2,4,3,2,"Ich habe den Zeitplan geplant. Ich habe die Themen vorbereitet, auf die man sich jeden Tag konzentrieren sollte, um die Aufgabe erfolgreich zu erledigen.",3.2,4.75,30.0,3,5,4,3,"Mit Hilfe der KI konnte ich einen besseren Zeitplan erstellen. Die Entscheidung, ihn zu ändern und zu verbessern, lag in meiner Hand",44.75,44.798,4.983333333333333,3.7485,15.215166666666667,6.1925,9.434,5.224500000000001
ZZIBI2311,30.0,100.0,True,False,True,False,False,False,False,False,3.8333333333333335,3.3333333333333335,3.3333333333333335,3.0,3.6666666666666665,3.0,4.0,3.25,2.5,2.75,2.5,3.0,3.2,4.25,5.0,2,2,2,2,Ich musste einen One Page Aufsatz schreiben über Kommunikation im Betrieb. Ich habe ChatGBT als Hilfsmittel benutzt,3.2,4.75,10.0,1,2,2,2,Konzept entwickeln für eine eintägige Veranstaltung für Führungskräfte. Als Hilfsmittel gab es Chatgbt,34.86666666666667,34.928,6.512333333333333,3.2680000000000002,7.594166666666666,5.7235000000000005,4.287999999999999,7.542
ZZEKI2929,33.0,80.0,True,False,False,False,False,False,True,False,4.166666666666667,3.3333333333333335,3.3333333333333335,4.0,3.3333333333333335,3.3333333333333335,3.0,3.25,1.75,3.0,2.0,3.2,4.0,4.5,60.0,4,4,4,3,My knowledge on digital transformation in academia,4.0,4.0,70.0,3,3,3,3,used AI to generate a strategy in regards to my recommendation which was mainly centered on a battery company,45.266666666666666,45.31816666666667,9.895000000000001,1.8975,11.904333333333334,7.176,9.807500000000001,4.637833333333333
ZZAFE1203,37.0,100.0,True,False,False,False,False,False,True,False,2.6666666666666665,4.0,5.0,2.0,3.0,3.6666666666666665,4.0,3.0,2.75,3.5,3.5,4.0,4.2,4.25,20.0,2,3,3,4,"Hilfsmittel zur Aufgabe war eine Web-API-Applikation via gradio.io, die mit einem generativen Text-KI-System verbunden war, angeblich Chat-GPT. Die Aufgabe war es, sich in eine fiktive Situation hineinzuversetzen und einen einwöchigen Plan und Kommunikationsstrategie zu entwickeln, um in einem großen Unternehmen Nachhaltigkeit als Kernwert einzuführen. Hierbei war es wichtig, dass konkrete Maßnahmen vorgeschlagen werden sollen, die in allen Abteilungen und Betrieben durchgeführt werden können und dass das Ergebnis ein ""one-pager"" sein soll.",3.6,1.0,98.0,1,4,4,4,"Es gab keine Hilfsmittel, außer einer Text-Anleitung zur Aufgabenstellung mit ein paar Tips. Aufgabe war es, ein eintägiges Seminar zu konzipieren, bei dem Führungskräfte sich zum Thema Digitalisierung austauschen können. Das soll in einem one-pager münden und das Konzept soll zum Gedankenaustausch anregen, aber auch unterhaltsam sein.",57.35,57.394999999999996,5.158166666666667,1.0595,16.868333333333332,5.317333333333334,24.528000000000002,4.463666666666667
ZZIWA2610,26.0,90.0,True,False,True,False,False,False,False,False,2.6666666666666665,2.6666666666666665,3.0,1.0,4.333333333333333,2.3333333333333335,4.333333333333333,3.5,2.75,3.0,3.5,2.8,2.4,4.75,5.0,1,4,3,4,Eine 1-wöchige Kommunikationsstrategie entwickeln. Ein KI-Chatbot stand als Hilfsmittel zur Verfügung.,2.8,1.5,90.0,1,3,4,2,"Ein Konzept für eine eintägige Veranstaltung für Führungskräfte entwickeln. Thema der Veranstaltung war ""Digitale Transformation""",39.833333333333336,39.8705,4.442833333333334,1.1683333333333332,7.958666666666667,5.6898333333333335,0.14133333333333334,20.4695
ZZAGE607,23.0,100.0,True,False,False,False,True,False,False,False,3.6666666666666665,3.3333333333333335,3.0,2.0,4.666666666666667,3.0,5.0,3.25,3.0,3.25,4.25,4.0,2.6,5.0,0.0,3,4,1,5,"Ich musste eine Nachhaltigkeitsstrategie für den Vorstand des Unternehmens entwickeln, das nicht länger als eine Seite lang ist. Mir stand ChatGPT zur Verfügung.",2.2,5.0,0.0,2,2,2,5,"Ich musste ein Konzept für ein Meeting erstellen, das die digitale Transformation der Führungskräfte umfasst. Mir stand ChatGPT zur Verfügung.",43.21666666666667,43.25083333333334,7.808666666666666,2.222666666666667,11.685,8.337333333333333,0.06699999999999999,13.130166666666666
ZZAH0702,21.0,0.0,True,False,False,False,True,False,False,False,3.6666666666666665,3.5,4.0,4.0,3.6666666666666665,2.6666666666666665,3.3333333333333335,3.5,1.5,3.75,3.5,3.2,4.2,3.75,50.0,4,2,2,2,Ich muss einwöchige Strategie zur Einführung von Nachhaltigkeit im gesamten Unternehmen. Hilfsmittel sind nur ein paar Frage.,2.8,4.75,10.0,2,3,3,2,"Ich muss eine tägige Veranstaltung, die um Digitale Transformation geht, planen. Hilfsmittel sind Frage und ChatGPT.",49.333333333333336,49.3795,4.054833333333333,1.6401666666666666,18.254166666666666,5.268666666666666,0.49566666666666664,19.666
ZZEFO1204,58.0,80.0,True,False,False,False,False,False,True,False,4.833333333333333,4.166666666666667,2.6666666666666665,3.5,4.666666666666667,2.3333333333333335,4.0,3.5,3.5,4.0,3.75,4.2,4.8,4.75,90.0,4,5,4,4,Ich habe der KI Anweisungen gegen mir einen bestimmten Bericht auszuarbeiten. In Stichpunkten konnte ich zuarbeiten.,4.4,4.0,100.0,4,5,4,4,Ich habe der KI detailierte Anweisungen erteilt Aufgaben für mich zu erledigen. Struktur und Stichpunkte der Aufgabe waren sehr hilfreich dabei.,32.1,32.1525,6.934,1.328,9.728833333333334,5.009666666666666,4.5235,4.6285
ZZIBO2610,23.0,16.0,True,False,False,False,True,False,False,False,3.1666666666666665,4.166666666666667,3.3333333333333335,3.0,2.3333333333333335,3.0,3.0,2.75,2.5,3.75,2.5,3.8,3.8,4.25,20.0,3,4,4,4,"Man musste mit chatGPT einen One-Pager für die Führungskräfte seines Unternehmens verfassen über die generative KI und ihre Vorteile. Dabei stand im Vordergrund dies möglichst informativ, aber auch inspirierend zu gestalten.",4.6,2.0,90.0,5,5,4,2,"Ich sollte eine einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit im Unternhemen verfassen. Dabei sollte das Engagement des Unternehmens für die Nachhaltigkeit gegenüber allen Mitarbeitern, der Öffentlichkeit und den Stakeholdern zum Ausdruck gebrahct werden.",51.63333333333333,48.80766666666667,6.348666666666667,1.3246666666666667,6.5895,11.3475,19.024166666666666,4.173166666666666
ZZAKO1412,33.0,100.0,True,False,False,False,False,False,True,False,4.0,3.6666666666666665,2.6666666666666665,2.0,4.333333333333333,2.6666666666666665,5.0,2.5,4.25,4.0,2.25,4.0,3.8,4.0,5.0,2,3,4,4,"Ich musste ein Vorstandsmeeting vorbereiten. Dafür habe ich exakt die Aufgabe an ChatGPT weitergegeben, da meiner Meinung nach alle relevanten Informationen bereits vorhanden waren.",2.6,2.0,100.0,5,5,4,1,Ich musste eine Nachhaltigkeitskommunikation entwerfen und hatte hierfür diverse Fragestellungen an denen ich mich orientieren konnte. Hierdurch sind mir sehr schnell viele Ideen gekommen.,18.1,18.111,2.8235,0.5856666666666667,3.1391666666666667,2.222666666666667,7.666666666666667,1.6733333333333333
